Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Trail Running,2021-11-28 08:21:33,true,"Piatra Neamt Trail Running","15.60","1,305","01:46:03","147","168","4.0","150","247","6:48","3:57","989","882","0.94","9.6","8.9","351","48.7% L / 51.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","9.0","0:00","No","04:28.60.8","16","0.0","35","13","48","01:45:30","02:22:00","308","657"
Virtual Cycling,2021-11-26 18:37:27,true,"Innsbruck Virtual Cycling","25.31","659","01:06:42","127","157","--","0","0","22.8","90.4","500","--","0.00","0.0","0.0","0","--","73","137","179","0.0","194","172","360","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:06:41.99.9","1","0.0","--","--","--","01:06:40","01:06:41","279","696"
Trail Running,2021-11-25 15:01:04,true,"Piatra Neamt Trail Running","13.57","966","01:24:07","133","147","3.5","169","214","6:12","4:12","517","513","0.93","8.8","8.3","283","47.6% L / 52.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","5.0","0:00","No","03:28.98.8","14","0.0","30","13","43","01:24:00","01:24:07","333","674"
Virtual Cycling,2021-11-24 18:12:06,true,"Virtual Cycling","30.71","641","01:00:59","129","156","--","0","0","30.2","57.8","236","--","0.00","0.0","0.0","0","--","65","129","192","0.0","202","185","292","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:00:58.97.6","1","0.0","--","--","--","01:00:10","01:00:58","-6","132"
Trail Running,2021-11-23 15:34:58,true,"Piatra Neamt Trail Running","13.06","898","01:17:06","143","167","3.7","171","204","5:54","4:25","554","557","0.96","8.8","8.6","268","47.3% L / 52.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","7.0","0:00","No","00:24.35.7","14","0.0","35","13","47","01:16:55","01:17:06","336","677"
Trail Running,2021-11-21 13:16:31,true,"Piatra Neamt Trail Running","13.01","1,035","01:31:48","142","169","3.8","168","256","7:03","4:27","785","775","0.82","9.9","8.0","282","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:04.31.4","14","0.0","35","14","51","01:31:38","01:31:51","343","812"
Hiking,2021-11-20 12:27:46,true,"Gârcina Hiking","9.60","632","01:57:03","102","132","1.5","107","246","12:12","9:12","299","294","0.77","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","13.0","0:00","No","01:57:03.17.5","1","0.0","--","--","--","01:52:00","01:57:03","586","791"
Trail Running,2021-11-19 15:25:58,true,"Piatra Neamt Trail Running","13.30","974","01:21:37","143","161","3.8","171","201","6:08","4:11","505","510","0.91","9.1","8.3","274","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","10.0","0:00","No","01:37.00.9","14","0.0","34","19","46","01:21:27","01:21:37","335","673"
Virtual Cycling,2021-11-18 17:20:52,true,"Zwift - Makuri Islands","20.15","371","00:35:39","124","141","--","0","0","33.9","59.9","154","--","0.00","0.0","0.0","0","--","68","118","189","0.0","197","181","312","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","35:38.99.9","1","0.0","--","--","--","00:35:37","00:35:38","125","200"
Hiking,2021-11-18 15:18:49,true,"Piatra Neamt Hiking","7.17","503","01:28:14","105","136","1.6","110","249","12:19","8:01","337","340","0.74","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","No","01:28:13.63.4","1","0.0","--","--","--","01:27:25","01:28:14","348","656"
