Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-09-28 17:07:02,true,"Piatra Neamt Running","10.02","651","00:46:56","155","171","4.4","186","196","4:41","3:32","79","76","1.14","7.4","8.6","236","45.8% L / 54.2% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","15.0","0:00","No","00:08.89.2","11","0.0","37","19","47","00:46:49","00:46:56","330","365"
Running,2021-09-27 17:14:47,true,"Piatra Neamt Running","9.51","634","00:56:58","125","153","3.3","173","188","5:59","4:39","180","170","0.97","8.9","8.7","275","47.8% L / 52.2% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","03:41.64.7","10","0.0","32","17","44","00:56:35","00:56:58","328","473"
Cycling,2021-09-26 10:00:40,true,"Piatra Neamt Cycling","40.97","980","01:50:54","130","171","3.8","0","0","22.2","42.3","575","576","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","03:05.23.3","9","0.0","31","17","48","01:46:31","01:50:54","327","736"
Cycling,2021-09-25 15:49:13,true,"Piatra Neamt Cycling","25.59","431","01:30:01","97","160","2.0","0","0","17.1","40.5","197","195","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","01:34.83.9","6","0.0","21","11","46","01:18:24","01:30:01","311","380"
Hiking,2021-09-23 15:25:18,true,"Piatra Neamt Hiking","6.81","297","01:23:41","85","108","0.6","106","250","12:17","7:50","320","317","0.77","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","01:23:41.49.5","1","0.0","21","12","33","01:22:18","01:23:41","346","646"
Hiking,2021-09-21 15:30:28,true,"Piatra Neamt Hiking","8.14","500","01:51:53","92","128","0.9","94","250","13:44","7:46","356","356","0.77","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","01:51:52.85","1","0.0","--","--","--","00:00:00","01:51:53","346","645"
Trail Running,2021-09-17 06:04:48,true,"Apuseni Ultra Race 180k ","158.04","12,108","30:07:20","110","156","5.0","102","247","11:26","4:39","6,670","6,004","0.86","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","11.0","0:00","No","00:25.12.8","159","0.0","27","11","49","25:55:36","30:07:27","663","1,853"
Trail Running,2021-09-11 09:56:58,true,"Maneciu Trail Running","34.05","2,747","05:24:55","130","172","4.4","116","250","9:32","4:58","1,565","1,540","0.90","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:24.53.5","35","0.0","--","--","--","00:00:00","05:24:55","886","1,494"
Trail Running,2021-09-09 17:06:48,true,"Piatra Neamt Trail Running","10.03","930","01:33:32","133","169","3.3","140","226","9:20","5:30","831","829","0.76","10.8","8.3","364","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:16.36.7","11","0.0","33","18","48","00:00:00","01:33:32","346","641"
Trail Running,2021-09-08 16:33:46,true,"Piatra Neamt Trail Running","10.15","1,026","01:28:54","146","175","4.0","168","239","8:45","5:11","839","836","0.67","11.2","7.3","299","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:59.73.8","11","0.0","37","18","47","01:28:12","01:28:54","339","626"
Trail Running,2021-09-07 17:55:23,true,"Piatra Neamt Trail Running","11.25","917","01:28:14","135","170","3.6","158","226","7:51","3:55","705","704","0.80","10.1","8.0","294","47.0% L / 53.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","01:34.96.2","12","0.0","33","14","57","01:26:00","01:28:14","339","635"
Trail Running,2021-09-06 17:16:46,true,"Piatra Neamt Trail Running","10.02","1,034","01:32:12","144","176","4.0","166","204","9:12","5:10","832","829","0.66","11.0","7.1","304","47.3% L / 52.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:10.40.9","11","0.0","36","19","49","01:30:53","01:32:12","346","644"
Trail Running,2021-09-05 12:12:01,true,"Piatra Neamt Trail Running","9.07","720","01:31:35","111","175","3.4","134","205","10:06","5:19","420","419","0.74","8.5","6.3","360","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","01:03.11","10","0.0","24","11","44","01:28:42","01:31:35","346","649"
Hiking,2021-09-04 11:27:43,true,"Piatra Neamt Hiking","10.26","766","02:06:39","88","121","2.1","106","250","12:20","7:14","412","403","0.77","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","02:06:39.32.6","1","0.0","--","--","--","02:01:11","02:06:39","346","647"
Cycling,2021-09-03 16:49:10,true,"Piatra Neamt Cycling","34.76","732","01:47:13","111","152","2.2","0","0","19.5","45.0","556","404","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","12:03.17.4","7","0.0","25","11","39","01:43:22","01:57:30","329","736"
Hiking,2021-09-02 19:04:48,true,"Piatra Neamt Hiking","6.17","506","01:18:01","101","137","2.0","109","250","12:39","7:14","300","302","0.72","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","01:18:00.80.6","1","0.0","13","13","13","01:16:39","01:18:01","344","644"
Cycling,2021-08-30 16:43:51,true,"Piatra Neamt Cycling","27.28","576","01:30:02","112","161","2.5","0","0","18.2","43.8","462","505","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","07:25.25.7","6","0.0","26","12","53","01:25:11","01:33:26","308","520"
Trail Running,2021-08-29 11:19:31,true,"Piatra Neamt Trail Running","19.40","1,379","02:05:48","144","163","4.4","157","219","6:29","4:42","532","480","0.95","9.0","8.6","269","46.8% L / 53.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","02:03.67.7","20","0.0","35","18","44","02:02:58","02:05:48","330","677"
Trail Running,2021-08-28 12:19:59,true,"Piatra Neamt Trail Running","21.16","1,479","02:11:20","143","173","4.4","168","256","6:12","4:10","619","614","0.95","9.2","8.6","266","46.9% L / 53.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:39.81","22","0.0","36","14","49","02:07:21","02:11:20","330","664"
Trail Running,2021-08-27 19:16:38,true,"Piatra Neamt Trail Running","11.50","859","01:11:25","145","172","4.0","170","205","6:13","4:40","445","445","0.90","9.9","8.9","263","46.8% L / 53.2% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","02:43.86.5","12","0.0","35","19","45","01:11:14","01:11:25","332","642"
Open Water Swimming,2021-08-23 11:54:17,true,"Esperioi Open Water Swimming","334","62","00:15:28","97","129","0.4","0","0","4:38","0:59","--","--","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","237","87","16","0","--","0:00","24.0","0:00","No","15:27.80.7","1","0.0","--","16","16","00:06:42","00:38:24","--","--"
Trail Running,2021-08-22 03:59:31,true,"Esperioi Trail Running","26.01","1,882","02:50:34","141","166","4.3","170","194","6:33","4:29","1,117","350","0.89","9.5","8.6","267","46.3% L / 53.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:03.89.8","27","0.0","35","17","50","02:49:17","02:50:34","3","891"
Trail Running,2021-08-21 12:14:07,true,"Esperioi Trail Running","11.41","763","01:02:21","144","177","3.6","166","228","5:28","4:00","402","249","1.10","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","01:52.22.5","12","0.0","--","--","--","01:02:01","01:07:15","-10","180"
Trail Running,2021-08-20 09:03:03,true,"Esperioi Trail Running","9.03","599","00:45:01","149","165","3.7","173","207","4:59","3:29","147","263","1.16","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","00:04.88.7","10","0.0","--","--","--","00:44:52","00:45:01","5","158"
Trail Running,2021-08-19 09:25:15,true,"Esperioi Trail Running","12.27","768","01:03:53","141","162","3.6","172","256","5:12","4:11","194","312","1.12","8.3","9.5","246","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:14.69.2","13","0.0","34","20","45","01:03:44","01:06:49","8","160"
Trail Running,2021-08-18 08:57:16,true,"Esperioi Trail Running","9.27","625","00:50:43","142","165","3.6","173","195","5:28","4:43","169","281","1.05","8.6","9.2","257","46.3% L / 53.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:26.31.6","10","0.0","33","20","41","00:50:41","00:50:46","13","138"
Trail Running,2021-08-17 09:18:01,true,"Esperioi Trail Running","9.09","683","00:55:55","144","162","3.8","158","213","6:09","4:21","254","345","1.01","10.2","9.9","296","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","29.0","0:00","No","00:29.90.9","10","0.0","34","19","47","00:54:07","00:55:55","18","158"
Trail Running,2021-08-13 18:02:00,true,"Piatra Neamt Trail Running","20.04","1,242","01:51:16","143","159","4.0","176","228","5:33","4:11","404","398","1.01","8.7","8.8","250","46.3% L / 53.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:09.38.5","21","0.0","34","19","46","01:50:20","01:51:16","330","669"
Trail Running,2021-08-12 18:06:54,true,"Piatra Neamt Trail Running","13.28","920","01:24:20","142","171","3.9","164","248","6:21","3:50","511","504","0.92","9.2","8.4","266","46.5% L / 53.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","01:12.32","14","0.0","35","15","49","01:19:52","01:24:20","346","645"
Trail Running,2021-08-10 16:27:41,true,"Piatra Neamt Trail Running","14.08","1,258","01:50:15","147","176","4.5","146","256","7:50","4:13","777","775","0.86","10.1","8.6","348","47.9% L / 52.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","00:36.63","15","0.0","36","18","50","01:45:50","01:50:15","332","642"
Hiking,2021-08-09 18:13:23,true,"Piatra Neamt Hiking","7.15","559","01:33:52","93","138","2.0","101","244","13:08","8:51","318","315","0.75","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","01:33:52.45.5","1","0.0","--","--","--","01:29:22","01:33:52","339","627"
Cycling,2021-08-04 17:49:29,true,"Piatra Neamt Cycling","27.72","792","02:00:25","109","164","2.7","0","0","13.8","40.4","623","619","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","07:41.49.7","6","0.0","26","11","43","01:55:07","02:00:25","328","668"
Trail Running,2021-08-03 18:36:02,true,"Piatra Neamt Trail Running","10.86","759","01:16:41","136","176","3.6","162","256","7:04","4:54","486","481","0.86","9.6","8.2","288","47.3% L / 52.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","04:41.08.8","11","0.0","33","17","48","01:14:14","01:16:41","346","644"
Trail Running,2021-07-30 08:59:41,true,"Câmpulung Moldovenesc Trail Running","79.12","7,101","16:59:00","114","150","5.0","109","256","12:53","4:56","4,659","4,143","0.74","11.5","8.2","470","49.5% L / 50.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","00:30.85.8","81","0.0","26","10","41","14:44:16","16:59:00","649","1,771"
Running,2021-07-29 07:07:47,true,"Piatra Neamt Running","3.62","272","00:20:17","150","177","3.1","170","176","5:36","4:55","20","19","1.05","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","03:37.46.8","4","0.0","--","--","--","00:20:16","00:20:17","329","344"
Trail Running,2021-07-27 18:07:20,true,"Piatra Neamt Trail Running","9.03","640","01:31:26","98","137","2.3","126","202","10:08","5:09","378","369","0.78","9.6","7.5","416","48.6% L / 51.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","00:20.63.1","10","0.0","23","11","43","01:28:28","01:31:26","346","640"
Cycling,2021-07-26 17:26:20,true,"Piatra Neamt Cycling","17.22","574","01:20:05","112","151","2.6","0","0","12.9","30.2","483","476","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","07:28.54.6","4","0.0","25","11","38","01:17:31","01:20:05","329","672"
Trail Running,2021-07-24 10:35:13,true,"Piatra Neamt Trail Running","21.04","1,521","02:59:37","122","153","3.3","139","256","8:32","4:46","1,016","1,007","0.83","10.2","8.4","350","48.1% L / 51.9% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","00:15.13.1","22","0.0","29","13","41","02:54:02","02:59:37","327","665"
Trail Running,2021-07-22 18:20:55,true,"Piatra Neamt Trail Running","10.01","732","01:32:44","110","138","2.4","132","256","9:16","4:45","516","506","0.82","10.5","8.4","351","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:02.26.9","11","0.0","26","11","44","01:23:20","01:32:44","327","664"
Trail Running,2021-07-21 17:39:11,true,"Piatra Neamt Trail Running","13.41","1,018","01:36:27","137","169","3.4","153","244","7:11","4:06","671","671","0.90","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","02:11.44.4","14","0.0","--","--","--","01:34:42","01:36:27","329","644"
Trail Running,2021-07-20 17:47:53,true,"Piatra Neamt Trail Running","12.51","848","01:30:22","127","163","3.0","151","256","7:13","3:50","620","609","0.88","10.1","8.6","312","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","02:22.39.7","13","0.0","31","13","44","01:27:45","01:30:22","329","645"
Trail Running,2021-07-18 10:32:14,true,"Piatra Neamt Trail Running","20.25","1,493","02:55:29","121","153","3.2","134","256","8:40","3:47","1,042","1,026","0.84","10.3","8.5","350","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:20.72.4","21","0.0","29","11","44","02:49:40","02:55:29","346","804"
Trail Running,2021-07-17 09:19:39,true,"Piatra Neamt Trail Running","24.86","1,861","03:38:30","122","153","3.6","137","256","8:47","4:46","1,275","1,279","0.81","10.2","8.1","344","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","05:04.23","25","0.0","30","16","42","03:31:32","03:38:30","327","646"
Trail Running,2021-07-15 19:04:45,true,"Piatra Neamt Trail Running","15.89","1,155","02:16:53","119","142","3.0","135","206","8:37","4:49","920","910","0.82","10.4","8.5","316","47.9% L / 52.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","04:55.16.4","16","0.0","29","17","41","02:13:05","02:16:53","346","644"
Hiking,2021-07-14 19:18:37,true,"Piatra Neamt Hiking","6.60","504","01:22:55","85","108","1.8","104","246","12:34","1:08","303","295","0.76","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","26.0","0:00","No","01:22:55.34.9","1","0.0","21","11","35","01:22:17","01:22:55","346","640"
Trail Running,2021-07-14 13:29:51,true,"Piatra Neamt Trail Running","10.36","914","01:39:08","126","175","3.2","141","248","9:34","4:00","736","728","0.74","9.9","7.3","343","48.6% L / 51.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","01:53.51","11","0.0","31","19","46","01:34:44","01:39:08","339","628"
Cycling,2021-07-13 13:33:54,true,"Piatra Neamt Cycling","41.06","873","02:05:49","115","168","3.4","0","0","19.6","40.2","611","606","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","28.0","0:00","No","03:26.79.4","9","0.0","28","11","53","01:51:20","02:05:57","329","730"
Hiking,2021-07-11 10:37:32,true,"Piatra Neamt Hiking","21.10","1,566","04:48:50","83","129","2.5","98","249","13:41","7:19","716","712","0.74","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","04:48:49.56.6","1","0.0","21","13","32","04:22:10","04:48:50","330","766"
Ultra Running,2021-07-10 09:29:20,true,"Piatra Neamt Ultra Running","51.06","3,777","07:53:03","124","155","4.5","132","256","9:16","4:54","2,286","2,271","0.81","9.9","7.9","347","48.6% L / 51.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","00:19.80.9","52","0.0","30","10","46","07:17:17","07:53:03","335","646"
Hiking,2021-07-09 18:48:07,true,"Piatra Neamt Hiking","6.87","534","01:39:10","79","105","1.4","89","247","14:26","8:48","316","312","0.78","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","27.0","0:00","No","01:39:10.14.9","1","0.0","19","10","30","01:27:40","01:39:10","339","624"
Trail Running,2021-07-08 17:31:02,true,"Piatra Neamt Trail Running","18.03","1,386","02:41:07","125","168","3.2","132","256","8:56","5:01","1,109","1,101","0.82","10.6","8.6","348","47.9% L / 52.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","25.0","0:00","No","00:07.70.3","19","0.0","30","19","46","02:37:45","02:41:07","346","637"
Trail Running,2021-07-07 18:58:06,true,"Piatra Neamt Trail Running","14.85","1,167","01:59:46","135","174","3.9","151","250","8:04","4:25","788","791","0.80","10.8","8.3","316","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","04:42.54","15","0.0","33","14","49","01:55:15","01:59:46","326","670"
Cycling,2021-07-06 18:53:44,true,"Piatra Neamt Cycling","22.25","642","01:35:45","110","163","2.7","0","0","13.9","35.2","550","545","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","07:20.23.6","5","0.0","26","11","46","01:34:25","01:35:45","330","670"
Trail Running,2021-07-04 11:35:44,true,"Piatra Neamt Trail Running","12.23","895","01:50:47","117","140","2.6","130","230","9:03","4:34","898","896","0.82","10.9","8.8","343","47.5% L / 52.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","01:16.59.1","13","0.0","29","18","42","01:49:36","01:50:47","346","638"
Trail Running,2021-07-03 11:05:45,true,"Piatra Neamt Trail Running","19.37","1,487","02:29:52","132","177","4.3","148","256","7:44","3:28","1,048","1,030","0.84","9.8","8.1","318","47.3% L / 52.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","02:10.80.9","20","0.0","32","17","49","02:26:12","02:35:26","346","640"
Hiking,2021-07-02 18:11:38,true,"Piatra Neamt Hiking","6.04","473","01:20:39","79","102","1.5","103","250","13:21","9:18","297","294","0.72","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","01:20:38.54.1","1","0.0","19","11","31","01:18:54","01:20:39","346","642"
Cycling,2021-07-01 18:42:30,true,"Piatra Neamt Cycling","17.27","601","01:25:11","115","161","3.2","0","0","12.2","31.8","485","476","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","No","06:38.25.9","4","0.0","27","11","49","01:21:30","01:25:11","330","668"
Trail Running,2021-06-30 19:15:31,true,"Piatra Neamt Trail Running","11.95","900","01:43:10","121","173","3.3","142","248","8:38","3:15","531","530","0.81","9.2","7.4","350","47.7% L / 52.3% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","06:14.01.9","12","0.0","28","12","45","01:40:13","01:45:17","346","645"
Running,2021-06-26 10:00:44,true,"Amsterdam Running","42.21","2,269","04:02:42","140","152","4.1","168","256","5:45","4:52","515","517","1.03","8.7","9.2","254","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","01:12.56.9","43","0.0","34","21","45","03:55:31","04:02:42","-22","21"
Cycling,2021-06-24 10:54:39,true,"Amsterdam Cycling","50.78","818","02:38:11","97","150","1.3","0","0","19.3","40.3","126","125","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","02:16.95.8","11","0.0","25","11","41","02:11:40","02:38:11","-3","13"
Cycling,2021-06-23 16:09:35,true,"Amsterdam Cycling","20.28","426","00:51:30","116","154","2.0","0","0","23.6","36.1","38","49","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","02:30.12.1","5","0.0","29","16","39","00:49:34","00:51:30","-7","5"
Running,2021-06-23 14:39:46,true,"Amsterdam Running","13.51","868","01:15:58","140","172","3.4","171","216","5:37","2:50","66","66","1.03","8.1","8.5","237","47.2% L / 52.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","02:59.94","14","0.0","36","19","47","01:15:27","01:15:58","-1","4"
Cycling,2021-06-21 11:46:32,true,"Piatra Neamt Cycling","12.07","558","01:28:30","107","156","2.8","0","0","8.2","23.7","452","452","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","13:46.02.8","3","0.0","26","13","43","01:19:56","01:28:30","328","643"
Hiking,2021-06-20 16:18:39,true,"Piatra Neamt Hiking","6.73","537","01:40:27","83","106","1.3","92","250","14:55","7:21","321","319","0.73","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","24.0","0:00","No","01:40:27.23.8","1","0.0","20","11","33","01:29:17","01:40:27","339","630"
Trail Running,2021-06-19 10:05:47,true,"Piatra Neamt Trail Running","50.02","3,719","06:18:18","141","172","5.0","146","256","7:34","4:25","2,616","2,604","0.87","10.2","8.7","327","47.5% L / 52.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","00:06.74.8","51","0.0","35","15","50","06:02:33","06:18:22","327","649"
Trail Running,2021-06-17 16:51:31,true,"Piatra Neamt Trail Running","15.37","1,128","02:05:53","122","161","3.2","140","248","8:12","4:46","842","882","0.84","10.6","8.7","348","48.0% L / 52.0% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","22.0","0:00","No","01:59.06.8","16","0.0","30","14","43","02:03:20","02:07:55","306","638"
Trail Running,2021-06-16 18:13:40,true,"Piatra Neamt Trail Running","13.84","943","01:35:40","132","174","3.8","161","256","6:55","3:41","534","535","0.89","9.3","8.3","288","46.8% L / 53.2% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","04:43.38.8","14","0.0","32","12","46","01:33:11","01:39:40","326","637"
Cycling,2021-06-15 16:31:27,true,"Piatra Neamt Cycling","19.30","681","01:39:47","111","162","2.9","0","0","11.6","31.1","581","574","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","14:49.15.1","4","0.0","25","11","42","01:36:45","01:39:47","330","677"
Trail Running,2021-06-13 13:50:52,true,"Piatra Neamt Trail Running","29.02","2,112","03:57:27","117","163","3.7","141","233","8:11","4:31","1,526","1,567","0.85","9.6","8.1","336","48.2% L / 51.8% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","No","00:05.32.2","30","0.0","28","17","45","03:52:20","03:57:31","305","653"
Trail Running,2021-06-11 15:12:45,true,"Piatra Neamt Trail Running","19.14","1,463","02:43:46","123","167","3.5","139","224","8:33","4:58","1,169","1,166","0.81","10.5","8.3","351","48.5% L / 51.5% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:46.30.7","20","0.0","30","17","50","02:39:18","02:49:40","346","653"
Trail Running,2021-06-10 17:28:34,true,"Piatra Neamt Trail Running","12.46","791","01:33:43","116","139","2.5","153","256","7:31","4:47","606","601","0.84","10.1","8.2","327","46.9% L / 53.1% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","19.0","0:00","No","02:29.17.9","13","0.0","29","15","40","01:32:48","01:33:43","328","642"
Trail Running,2021-06-09 18:24:18,true,"Piatra Neamt Trail Running","10.04","814","01:18:59","134","161","3.1","145","218","7:52","4:44","631","628","0.85","9.8","8.2","311","47.4% L / 52.6% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","No","00:13.17.7","11","0.0","34","22","45","01:18:31","01:18:59","346","641"
Trail Running,2021-06-09 15:43:27,true,"Piatra Neamt Trail Running","20.04","1,179","02:06:01","129","145","3.2","165","207","6:17","4:18","461","455","0.96","8.3","8.0","291","47.6% L / 52.4% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","21.0","0:00","No","00:12.68.2","21","0.0","34","19","46","02:03:25","02:06:01","330","672"
Cycling,2021-06-08 16:56:11,true,"Piatra Neamt Cycling","41.28","605","01:41:31","105","145","1.9","0","0","24.4","39.9","386","384","0.00","0.0","0.0","0","--","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","No","03:30.35.2","9","0.0","25","13","39","01:41:03","01:41:31","330","397"
Trail Running,2021-06-06 08:41:46,true,"Piatra Neamt Trail Running","18.15","1,371","02:38:33","123","159","3.2","136","256","8:44","2:46","1,187","1,185","0.83","10.2","8.2","358","48.3% L / 51.7% R","0","0","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","No","00:47.01.6","19","0.0","30","15","41","02:33:28","02:38:33","346","642"
